_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC00786927 -26.176 -25.541 2.115 0.000 -29.442
ZINC00787688 -26.299 -24.470 1.537 0.000 -33.596
ZINC00799076 -26.984 -22.785 -0.881 0.007 -29.044
ZINC00799978 -28.414 -21.159 -3.890 0.000 -25.303
ZINC00800237 -26.358 -17.259 -5.851 0.000 -28.543
ZINC00809212 -25.168 -20.853 -1.001 0.000 -29.356
ZINC00812995 -26.497 -21.220 -2.049 0.000 -27.239
ZINC00826906 -27.876 -24.558 0.062 0.000 -31.964
ZINC00830719 -23.732 -20.048 -0.317 0.000 -29.366
ZINC00831060 -17.110 -17.109 3.237 0.000 -24.776
ZINC00843834 -26.404 -22.581 -0.500 0.000 -28.697
ZINC00843836 -23.554 -20.482 0.154 0.000 -29.960
ZINC00844045 -23.068 -20.206 0.049 0.000 -30.591
ZINC00846625 -23.576 -19.450 -0.931 0.000 -29.133
ZINC00846684 -24.898 -21.788 0.242 0.000 -29.032
ZINC00849513 -28.052 -21.303 -3.352 0.000 -28.040
ZINC00849514 -25.545 -18.776 -3.428 0.000 -29.032
ZINC00849515 -26.555 -17.698 -5.459 0.000 -26.074
ZINC00849516 -25.383 -18.271 -3.688 0.003 -26.651
ZINC00850069 -23.873 -21.465 0.748 0.000 -28.425
ZINC00850070 -26.562 -22.513 -0.794 0.000 -28.852
ZINC00851469 -28.298 -20.950 -4.042 0.000 -30.058
ZINC00853141 -23.741 -20.023 -0.337 0.003 -28.719
ZINC00856433 -23.626 -25.385 1.384 0.000 -34.174
ZINC00860105 -28.218 -24.672 -0.294 0.000 -33.562
ZINC00863810 -27.484 -23.690 -0.457 0.000 -29.745
ZINC00863811 -28.603 -23.996 -1.287 0.000 -32.093
ZINC00863861 -29.208 -27.347 1.409 0.000 -32.948
ZINC00863862 -29.366 -25.626 -0.442 0.000 -32.333
ZINC00863883 -27.468 -20.574 -4.923 0.000 -31.296
ZINC00863884 -27.105 -25.702 1.897 0.000 -32.870
ZINC00864982 -25.505 -21.898 -0.246 0.000 -28.063
ZINC00865555 -24.163 -22.299 1.401 0.000 -27.388
ZINC00865556 -20.019 -18.703 2.006 0.000 -23.973
ZINC00865558 -18.794 -16.763 1.104 0.000 -22.593
ZINC00868821 -26.974 -24.533 0.677 0.000 -31.974
